supplier_Name,Contact_person,Address,Phone,Website,E-mail,supplier_Category,
 Askco InstrumentCorp. , Jim Ragland ,"7598 Morley Street, Houston, TX, 77061",713-645-9898,None,info@petropages.com,Automation Controls,
 ATI Systems , Scott A. Cohen ,"30 Jeffries St, E. Boston, MA, 2128",617-567-4969,None,sac@shore.net,Automation Controls,
 Austech Sales Inc. , Ron Davis ,"13999 Goldmark Drive,  Suite 340, Dallas, TX, 75240",800-529-1170,None,info@petropages.com,Automation Controls,
" AutomationApplications, Inc. ", Jeffrey Vail ,"717 Constitution Drive,Suite 101, Exton, PA, 19341",610-458-0500,aai-csi.com,info@aai-csi.com,Automation Controls,
 Automation DesignConsultants Inc. , Donnell Cooper II ,"417 Minuet Lane, Suite A, Charlotte, NC, 28217",704-519-0922,automationconsultants.com,info@automationconsultants.com,Automation Controls,
 AutomationElectronics , Ted Lapis ,"111 Big Horn Road, Casper, WY, 82602",307-234-9311,autoelect.com,tlapis@autoelect.com,Automation Controls,
 AVI Systems -Access & VideoIntegration , John Koci ,"55 Lyerly St. Suite 209, Houston, TX, 77022",281-991-4856,avicorp.com,lightingspec@ev1.net,Automation Controls,
 AW-Lake Company , Marcia Reiff ,"8809 Industrial Dr, Franksville, WI, 53126",262-884-9800,awcompany.com,mreiff@aw-lake.com,Automation Controls,
 AWC Incorporated , Miles Reynolds ,"P.O. Box 12777, 4940 Tmber Creek, Houston, TX, 77217-2777",713-944-2100,None,info@petropages.com,Automation Controls,
 Azonix Corporation , Mr. Ed Conroy ,"900 Middlesex Turnpike, Bldg. 6, Billercia, MA, 1821",972-462-8661,azonix.com,www.azonix.com/contact/contact.html,Automation Controls,
 B&B, Controls ," Ben Kough,P.E. ","3101B NW 16th Terrace, Pompano Beach, FL, 33064",954-917-3481,None,benkough@bellsouth.com,Automation Controls
" Badger Meter, Inc. ", Jerold A. Kieffer ,"4545 W. Brown Deer Road, P.O. Box 23099, Milwaukee, WI, 53223-0099",414-355-0400,badgermeter.com,info@petropages.com,Automation Controls,
" BAKER CONCRETECONSTRUCTION,INDUSTRIAL ", Bob Nussmeier ,"8300 HEMPSTEAD RD, HOUSTON, TX, 77008",713-864-0657,bakerconcrete.com,nussmeier@bakerconcrete.com,Automation Controls,
" Balluff, Inc. ", Tim Jordan ,"8125 Holton Dr., Florence, KY, 41042",800-543-8390,balluff.com,balluff@balluff.com,Automation Controls,
 Barben AnalyzerTechnology , Ted Barben ,"1771 South Sutro Terrace, Carson City, NV, 89706",800-993-9309,BAT4pH.com,sales@BAT4pH.com,Automation Controls,
 Barber-Colman -Invensys , Valerie Richardson ,"P.O. Box 2940, Loves Park, IL, 61132",815-637-3000,barber-colman.com,info@petropages.com,Automation Controls,
 Barnco Inc. , Mark Lambert ,"1507 W. 2nd St., PO Box 4615, Odessa, TX, 79760-4615",432-332-0293,barncoinc.net,sales@barncoinc.net,Automation Controls,
" Bay Area Electric,Inc. ", Tom Johnson ,"4800 Todville Road, Seabrook, TX, 77586",281-474-5956,bayareaelectric.net,tomjohnson@bayareaelectric.net,Automation Controls,
 BayshoreInstrument Co. , Carolyn King ,"4808 Fairmont Pkwy, Pasadena, TX, 77505",281-487-7540,None,info@petropages.com,Automation Controls,
 Bearcom LP , Larry Beard ,"6001 Stonington, Suite #110, Houston, TX, 77040-5072",713-690-2022,bearcom.com,larry.beard@bearcom.com,Automation Controls,
 Bebco Industries , Brian Gimbaluka ,"600 Gulf Freeway, Texas City, TX, 77591",409-935-5743,okbebco.com,briang@okbebco.com,Automation Controls,
 BEI Technologies , Scott Orlosky ,"7230 Hollister Ave, Goleta, CA, 93117",(818) 362-7151,beiied.com,sorlosky@beiied.com,Automation Controls,
 Bentek Systems , James Wong ,"175-1089 W. Broadway St., Vancouver, BC, V6H 1E5",604-732-7990,bentek.ca,sales@bentek.ca,Automation Controls,
" BetaInternational,Inc. ", Ralphel Ramos ,"8303 Millet, Houston, TX, 77012",713-921-3600,betaintl.com,ralphelr@BETAINTL.COM,Automation Controls,
 BHA Group , Morgan Jim ,"8800 East 63rd Street, Kansas City, MO, 64133",816-356-8400,bhagroup.com,jmorgan@bhagroup.com,Automation Controls,
" Bi-Con Services,Inc. ", Denny Patterson ,"10901 Clay Pike Road, Derwent, OH, 43733",740-685-2542,bsicos.com,dpatterson@bsicos.com,Automation Controls,
 BINDICATOR , Jeff Ives ,"P.O.Box 610009, Port Huron, MI, 48061-0009",810-987-2700,None,info@petropages.com,Automation Controls,
 Bison ProFabEngineering &Fabrication , Brad Pladson ,"32227 Dobbin Hufsmith, Magnolia, TX, 77355",800-825-5805,None,bison@smc-corp.com,Automation Controls,
 BJ Process andPipeline Services , Greg Salerno ,"P.O. Box 61110, Dubai, United Arab Emi, 61110",713-895-5459,bjservices.com,gsalerno@bjservices.com,Automation Controls,
 BJM Corporation , Michael Bjorkman ,"P.O. Box 1138, 123 Spencer Plains Road, Old Saybrook, CT, 6475",860-399-5937,bjmcorp.com,info@petropages.com,Automation Controls,
" Boiler RoomServices, Inc. ", John Denk ,"P.O. Box 558, Imperial, PA, 15126",724-695-8110,None,jmdenk08@worldnet.att.net,Automation Controls,
 BORN CANADA , Rhonda Buzogan ,"501, 10333 Southport Road S.W., Calgary, Alberta, T2W 3X6",403-252-2676,borncanada.com,marketing@borncanada.com,Automation Controls,
 Born HeatersCanada Limited , Belal Hessin ,"409-10333 Southport Rd. S.W., Calgary Alberta, Canada",403-252-2676,borncanada.com,heaters@borncanada.com,Automation Controls,
" Boumans &Associates, Inc. ", Ted Boumans ,"3911 N. Twin City Hwy., Nederland, TX, 77627",409-722-8615,boumans.com,boumans@boumans.com,Automation Controls,
 BradfordMechanical Inc. , Blake Zipoy ,"1918 Antoine Suite A, Houston, TX, 77055",713.680.0808,None,info@petropages.com,Automation Controls,
" Brandamar Corp.,The ", Jim Martin ,"P.O. Box 680203, Houston, TX, 77268-0203",281-370-7010,None,info@petropages.com,Automation Controls,
" Breard Gardner,Inc ", Danny Wedge ,"2001  25th St., Kenner, LA, 70062",504-466-3401,breard-gardner.com,dwedge@breard-gardner.com,Automation Controls,
None,None,None,None,None,None,Automation Controls,
 BRS INSTRUMENTSPRIVATE LIMITED , Narayanasamy Ravichandran ,"189 Ground Floor, 16th Cross, J.P. Nagar, IV Phase, Bangalore, Karnataka, 560078",+91-(0)80-98450,None,nravich@yahoo.com,Automation Controls,
" Bryan Research &Engineering, Inc. ", Gavin McIntyre ,"P.O. Box 3403, Bryan, TX, 77805",979-776-5220,bre.com,g.mcintyre@bre.com,Automation Controls,
 Buckeye Pumps , Jodie Humphrey ,"374 S. Market Street, Galion, OH, 44833",419-468-7868,buckeyepumps.com,jhumphrey@buckeyepumps.com,Automation Controls,
 BuildingManagementTechnology , Norman Barron ,"Linglie West Rainton, Co Durham, n/a, DH4 6NX",+44 (0) 191 51262,co.uk,bmt@energycontrols.co.uk,Automation Controls,
" Burhans-SharpeSales, Inc. ", Jennifer Crowley ,"943 Industry Dr., Tukwila, WA, 98188",206-575-3111,burhans-sharpe.com,bssi@burhans-sharpe.com,Automation Controls,
 Burner CombustionSystems , Chris Robison ,"21614 FM 2100 Rd Crosby, Texas 77532-3495",281.324.3200,burnercombustion.com,crobison@burnercombustion.com,Automation Controls,
 BW Technologies byHoneywell , ,"3279 West Pioneer Parkway, Arlington, TX, 76013",888-749-8878,gasmonitors.com,info@gasmonitors.com,Automation Controls,
" BWB Controls, Inc. ", George Warren ,"107 Woodlawn Ranch Road West, Houma, LA, 70363",504-876-4117,bwbcontrols.com,bwbcont@iamerica.net,Automation Controls,
" C & G IndustrialSupply, Inc. ", William Rollen ,"3500 S Richey Suite 140, Houston, TX, 77017",713-947-7770,cgindustrial.com,william.rollen@cgindustrial.com,Automation Controls,
 California ProcessControls , Gene Drache ,"2284 Old Middlefield Way, Suite 16, Mt. View, CA, 94043",650-967-8080-,None,cpc@netbox.com,Automation Controls,
 Callidus , William De Los Santos ,"7130 South Lewis, Suite 635, Tulsa, OK, 74136-5488",918-523-2157,callidus.com,wdelossantos@callidus.com,Automation Controls,
 CameronMeasurementSystems Nuflo , Eleanor-Ryan Jones ,"14450 JFK Blvd, Houston, TX, 77032",713-705-8409,c-a-m.com,eleanor.ryan@c-a-m.com,Automation Controls,
 Camile Products , Kathy Conner ,"9315 Delegates Row, Indianapolis, IN, 46240",317-573-3880,None,info@petropages.com,Automation Controls,
 CappUSA , Mike Shelton ,"201 Marple St., Clifton Heights, PA, 19018",610-394-1100,cappusa.com,cappusaeng@aol.com,Automation Controls,
 CarrierCorporation , Ron Ford ,"9349 Kirby, Houston, TX, 77054",713-797-8900,carrier.com,ron.ford@carrier.utc.com,Automation Controls,
 Carrier RentalSystems , Nick Sickmen ,"#40 Southbelt Industrial, Houston, TX, 77047",713-413-4200,hvacportablesystems.com,nick.sickmen@carrier.utc.com,Automation Controls,
" Cencom, Inc. ", David Richardson ,"150 Hickory Rd., Hickory, KY, 42051",866-518-7979,cencominc.com,david@cencominc.com,Automation Controls,
 Centro FiltrationDivision , Bryant Carr ,"3315 Overton Crossing, Memphis, TN, 38127",901-357-1261,centromemphis.com,bcarr@centromemphis.com,Automation Controls,
" Chambers PowerProducts, Inc. ", Nick Chambers ,"3990 Hwy. 30, St. Gabriel, LA, 70776",866-534-0239,bcpp.net,nickchambers@bcpp.net,Automation Controls,
 Chandler EquipmentSales , Tim Bland ,"1124 S. Center, Mesa, AZ, 85210",480-964-1871,cestools.com,tim@cestools.com,Automation Controls,
 Charter Tech Ltd. , Andy Baker ,"Leanne Business Centre, Sandford Lane,, Wareham, Dorset, BH20 4DY",01-929-553000,charter-tech.com,enquiries@charter-tech.com,Automation Controls,
 CI Systems , Ivan R. Cardenas ,"2202 Enchanted Isle Drive, Houston, TX, 77062",281-286-9200,cisystems.com,cisys@cisystems.com,Automation Controls,
" Ci Technologies,Inc. ", John Kan ,"4828 Parkway Plaza Boulevard, Suite 140, Charlotte, NC, 28217-1958",704-329-3838,citect.com,sales@citect.com,Automation Controls,
" Ciscorp, Inc. ", Ronnie Robinson ,"5201 Mitchelldale, Houston, TX, 77092",713-680-1551,None,ciscorpinc@hotmail.com,Automation Controls,
 Clipper EnergySupply Co. , Jeffrey Casey ,"3355 West Alabama Ste. 920, Houston, TX, 77098",713-965-0006,clipperenergy.com,jcasey@clipperenergy.com,Automation Controls,
 CMG IMPORT &EXPORT , Cevat Kulaber ,"Karlstrasse 6, Gross-Gerau, D-64521",49615281348,cmg-germany.com,cmggerm@aol.com,Automation Controls,
 Coburn's WholesaleDistributors , Jim Fuller ,"P.O. Box 2177, Beaumont, TX, 77704",979-828-6363,coburns.com,info@petropages.com,Automation Controls,
" COEN Company, Inc. ", Thomas E. DeHaan ,"1510 Rollins Road, Burlingame, CA, 94010",650-686-3285,coen.com,tdehaan@coen.com,Automation Controls,
 Cole-ParmerInstrument Company , Mary Blase ,"625 East Bunker Court, MS 18, Vernon Hills, IL, 60061-1844",847-327-5860,coleparmer.com,info@coleparmer.com,Automation Controls,
 Colfax FluidHandling , Ben Martin ,"1710 Airport Road Monroe, NC 28111",704.289.6511,colfaxfluidhandling.com,ben.martin@colfaxfluidhandling.com,Automation Controls,
 Columbus McKinnonCorp , Rob Beightol ,"140 Audubon Parkway, Amherst, NY, 14228",800-888-0985,cmworks.com,rob.beightol@cmworks.com,Automation Controls,
 Command andControlEnvironments , Scott Mathews ,"1737 Stebbins, Suite 230-A, Houston, TX, 77043",281- 620-0319,cceinteriors.com,smathews@cceinteriors.com,Automation Controls,
 Complete Controls , Tim  ,"1400 W. Sam Houston Parkway North, SUITE 230, Houston, TX, 77043",713-464-7002,completecontrols.com,@completecontrols.com,Automation Controls,
 CompressorControlsCorporation (CCC) , Paul Fisher ,"4725 121st Street, Des Moines, IA, 50322-2316",515-270-0857,cccglobal.com,solutions@cccglobal.com,Automation Controls,
" Conco Systems,Inc. ", George Saxon Jr. ,"530 Jones Street, Verona, PA, 15147",412-828-1166,concosystems.com,info@petropages.com,Automation Controls,
 ConnectivitySolutions Plus , Aaron Niru ,"35111-F Newark Blvd., Newark, CA, 94560",510-739-1940,connsp.com,info@connsp.com,Automation Controls,
 ContainmentSolutions , Joan Carter ,"5150 Jefferson Chemical Rd., Conroe, TX, 77301",936-756-7731,containmentsolutions.com,jcarter@csiproducts.com,Automation Controls,
 Contech ControlServices , Scott Schroeder ,"2801 Sens Road, La Porte, TX, 77571",281-471-8010,contechnet.com,sscot@contechnet.com,Automation Controls,
 ContinentalControlsCorporation , Rick Fisher ,"6042 Cornerstone Court West, Suite B, San Diego, CA, 92121",858-453-9880,continentalcontrols.com,mail@continentalcontrols.com,Automation Controls,
 Contro ValveEquipment , Brian King ,"9610 B Ignace St., Brossard, Quebec, J4Y2R4",450-444-5858,controvalve.com,info@controvalve.com,Automation Controls,
 Control & SafetySystems Services(c3s) , Andy Popple ,"Glenury House, Eaglescliffe, Stockton on Tees, Teesside, TS16 0AB",0044-1642-357925,c3s-group.com,enquiries@c3s-group.com,Automation Controls,
" Control Center,Inc. ", Scott Turner ,"300 Sunport Lane, Orlando, FL, 32809",407-304-5200,controlcenter.net,stuner@controlcenter.net,Automation Controls,
" Control DesignEngineering, Inc. ", MICHAEL FERGUSON ,"7820 Professional Place, Suite #2, Tampa, FL, 33637",813-899-9240,None,CDEMIKE@AOL.COM,Automation Controls,
" CONTROLS SUPPLYCOMPANY, INC. ", Stuart Hitner ,"Post Office Box 6781, Greenville, SC, 29606-6781",864-297-7002,None,info@petropages.com,Automation Controls,
 Controlsupply , Mary Windsor ,"21218 St Andrews Blvd, Boca Raton, FL, 33433",561-679-5700,controlsupply.com,info@controlsupply.com,Automation Controls,
 Cooling Concepts , Graham O'Brien ,"233 South First Street Unit 4w, Brooklyn, NY, 11211",718-388-4792,coolingconcepts.com,tech@coolingconcepts.com,Automation Controls,
 Cordyne IndustrialControls , Ben Devine ,"9885 Drysdale, Houston, Texas, 77041",713-460-5151,cordyne.com,bend@cordyne.com,Automation Controls,
 Core Lab Inc./Pastech , Mark Lord ,"6100 West by Northwest Blvd., Suite 160, Houston, Texas, 77040",713-460-9541,corelab.com,pastech@NOL.NET,Automation Controls,
 CORPUS CHRISTIELECTRIC , Richard Pifer ,"P.O. Box 2884 (zip 78403), Corpus Christi, TX, 78408",512-882-2564,None,akeuar@aol.com,Automation Controls,
 Cowco Inc. ," Ken Polk, Mark Cowie ","9823 B Whithorn, Houston, TX, 77095",281-463-1805,None,cowco@concentric.net,Automation Controls,
 CPUSA (ControlPanels USA Inc.) , Betsy Salyer ,"105 Halmar Cove Suite 220, Georgetown, TX, 78628",512-863-3224,controlpanelsusa.net,bsalyer@controlpanelsusa.net,Automation Controls,
 Crane ValveServices , Calvin Bohannon ,"1202 Hahlo Street, Houston, TX, 77020",713-671-4600,cranevalveservices.com,cbohannon@cranevs.com,Automation Controls,
 Daily ThermetricsCorporation , Bob Poteet ,"5700 Hartsdale Drive, Houston, TX, 77036",713-780-8600,dailyinst.com,sales@dailyinst.com,Automation Controls,
" DartronManufacturing,Inc. ", Steven Krause ,"11105 Dana Circle, Cypress, CA, 90630",714-901-2644,dartron.com,steve@anchor.com,Automation Controls,
 Data Track ProcessInstruments Ltd. , Mike Mussellwhite ,"153 Somerford Road, Christchurch, Dorset, BH23 3TY",+44 (0)1425 27190,dtrack.com,dtpisales@dtrack.com,Automation Controls,
 DataMiteTechnologiesCompany , Dell Klotz ,"13003 Murphy Road, Suite N-10, Stafford, TX, 77477",281-561-0993,datamitetech.com,sales@datamitetech.com,Automation Controls,
" Dawson andAssociates, Inc. ", Richard Phillips ,"9001 Airport Blvd. Suite 803, Houston, TX, 77061",713-947-9225,None,info@petropages.com,Automation Controls,
" Dearman Systems,Inc. ", Kris Dearman ," 6303 E. Tanque Verde Rd. Ste. 220, Tucson, AZ, 85715",520-298-1677,None,info@petropages.com,Automation Controls,
 Decatur IndustrialElectric , David Stinson ,"P. O. Box 1188, Decatur, IL, 62525",217-428-6621,None,info@petropages.com,Automation Controls,
" Detcon, Inc. ", Sales at Detcon  ,"3200 A1 Research Forest Dr, Woodlands, TX, 77381",281-367-4100,detcon.com,sales@detcon.com,Automation Controls,
 DEVAR INC. , Veronica Dugas ,"706 Bostwick Ave, Bridgeport, CT, 06605-2396",800-566-6822,devarinc.com,devarinc@worldnet.att.net,Automation Controls,
 Diamond PowerSpecialty Company , William Gensel ,"185 Great Valley Parkway, Malvern, PA, 19355-1321",610-648-8664,None,info@petropages.com,Automation Controls,
 DIGICONT , C.S DANG ,"6- INDUSTROAL ESTATE, KOTA, RAJASTHAN, 324007",450568,co.in,digicont@kappa.net.in,Automation Controls,
 Donovan Controls , Paul Donovan ,"P.O. Box 2582, Mandeville, LA, 70470-2582",877-776-3837,donovancontrols.com,hamfistd@bellsouth.net,Automation Controls,
" Double EEngineering Sales,Inc. ", Bill Wood ,"701 N. Post Oak Road, Ste.#312, Bunker Hill, TX, 77024",713-290-1151,double-e-engineering.com,bccwood@flash.net,Automation Controls,
" DRES-COPartnership, Ltd. ", James Case ,"8500 Hansen Road, Houston, TX, 77075",281-458-4280,None,info@dres-co.com,Automation Controls,
 Dresser-RandControl Systems , ,"1202 W. Sam Houston Parkway N., Houston, TX, 77043",713-973-5312,dresser-rand.com,control_systems@dresser-rand.com,Automation Controls,
" Drive Systems,Inc. ", James Shumberg ,"101 Hwy 146 N, Texas City, TX, 77592",409-943-4500,drivesys.com,drives@drivesys.com,Automation Controls,
" Drying Technology,Inc. ", John Robinson ,"500 East Ave. N., Silsbee, TX, 77656",409-385-6422,moisturecontrols.com,info@petropages.com,Automation Controls,
 Dumag KGUltrasonicCombustion Techn. , Dumag Kg ,"Schwarzenbergplatz 7, Vienna, Vienna, 1020",4317124105,dumag.at,dumag@aon.at,Automation Controls,
" DWD International,LLC ", Winston Chin ,"P.O. Box 42026, Houston, TX, 77242",713-683-8321,dwdinternational.com,DWD@DWDInternational.com,Automation Controls,
" Dwyer Instruments,Inc ", Kris Vallarano ,"P.O. Box 373, Michigan City, IN, 46361",219-879-8000,dwyer-inst.com,info@dwyer-inst.com,Automation Controls,
 Dynalco Inc. , Dian Rattner ,"819 Longhunter Court, Nashville, TN, 37217",954-739-4300,dynalco.com,drattner@dynalco.com,Automation Controls,
 Dynamic FlowComputers , Rachel Gordon ,"12603 Southwest Freeway, Suite 320, Stafford, TX, 77477",281-565-1118,dynamicflowcomputers.com,rachel@dynamicflowcomputers.com,Automation Controls,
 Dynamic FluidMeasurement , Susan Miller ,"12603 Southwest Freeway, Suite #320, Stafford, TX, 77477",281-565-1118,dynamicflowcomputers.com,susanm@dynamicflowcomputers.com,Automation Controls,
 Eaton Corporation , Tony Lavorgna ,"9919 Clinton Rd., Brooklyn, OH, 44144",216-523-4400,eaton.com,customer@etn.com,Automation Controls,
 ECO-PURE WASTEWATER SYSTEMS , ED FESTA ,"17305 Pineridge Rd., Fort Myers, Florida, 33931",888-999-0936,eco-purewastewatersystems.com,efesta.eco-pure@juno.com,Automation Controls,
" Egar, Inc. ", Glen Garcia ,"602 Ninth Street North, Texas City, TX, 77590",409-945-8800,egarinc.com,glen@egarinc.com,Automation Controls,
 EggelhofIncorporated , Harry Stephens ,"1999 Kolfahl, P.O. Box 230307, Houston, TX, 77223-0307",713-923-2101,eggelhof.com,corporate@eggelhof.com,Automation Controls,
 EIM Controls , Amy Allen ,"13840 Pike Road, Missouri City, TX, 77489",281.499.1561,eim-co.com,info@petropages.com,Automation Controls,
 Electrical MouldedComponents - EMC , Fred Daus ,"P.O. Box 872, Honeydew, Gauteng, 2040",654,emc-sa.com,agdaus@global.co.za,Automation Controls,
" Electro-MechControls,Inc. ", Donald Vrudney ,"957 Tallmadge Rd., Brimfield, OH, 44240",330-673-4401,None,info@petropages.com,Automation Controls,
 Elliott Company , Stephen Wells ,"2001 West Sam Houston Parkway North, Houston, TX, 77073",713-984-3836,None,info@petropages.com,Automation Controls,
 Elmex ControlsPvt. Ltd , Vipul Ray ,"12 GIDC Estate, Makarpura rd, Vadodara, Gujarat, 390010",-642195,elmex.net,elmex.baroda@rmm.sprintrpg.ems.vsnl.net.in,Automation Controls,
 Elwood Corporation , Bob Larsen ,"195 West Ryan Road, Oak Creek, Wisconsin, 53154",414-764-7500,elwood.com,bob@elwood.com,Automation Controls,
 Emerson-Harris Co. , Bob Emerson ,"810 Highway 6 South, Ste.150, Houston, TX, 77079",281.957.0048,None,info@petropages.com,Automation Controls,
 Endress & HauserSystems & Gauging , Michael Hewson ,"5834 Peachtree Corners E., Norcross, GA, 30092",770-447-9202,varec.com,sales@varec.com,Automation Controls,
 Energy ServiceGroup , Eric Olafson ,"15019 N Brentwood, Channelview, TX, 77530",281-452-5335,energy-service.biz,energy@energy-service.biz,Automation Controls,
" Energy Tracking,Inc. ", Keith Mistry ,"141 Lanza Ave., Garfield, NJ, 7026",973-340-0979,energytracking.com,kmistry@energytracking.com,Automation Controls,
 EnerSysCorporation , Russel Treat ,"P.O. Box 131525, Houston, TX, 77219",713-963-8829,enersyscorp.com,rwtreat@enersyscorp.com,Automation Controls,
" Entrelec, Inc. ", Claude Fosse ,"400 Matheson Bld.East, Unit 24, Mississauga, Ontario",713-784-5051,entrelec.com,cfosse@entrelecna.com,Automation Controls,
 Enviro Supply &Resources , Denise McQuay ,"3910 Fairmont Parkway #355, Pasadena, TX, 77504",713-378-4414,enviroresources.com,dmcquay_esr@yahoo.com,Automation Controls,
 EnviroKinetics , Henry Seal ,"4701 Arrow Hwy., #B, Montclair, CA, 91763",909-621-7599,envirokinetics.com,HSeal@EnviroKinetics.com,Automation Controls,
 Environment OneCorporation , George Vorsheim ,"2773 Balltown Rd., Niskayuna, NY, 12309",518-346-6161,eone.com,eone@worldnet.att.net,Automation Controls,
 ETG Risorse eTecnologia S.r.l. , S Miccich ,"Via P. Carpignano 23, Montiglio, 10426",+39 0141.99.49.05,etgrisorse.com,s.micciche@etgrisorse.com,Automation Controls,
 Eurotherm Controls , Ken Bowles ,"741-F Miller Drive, Leesburg, VA, 20176",703-443-0000,eurotherm.com,info@petropages.com,Automation Controls,
 Evco , Inda Wendt ,"20067 Hiawatha Street, Chatsworth, CA, 91311",818 832 5320,None,evco@gte.net,Automation Controls,
 EWA Technologies , Rita Bellini-Goetze ,"13873 Park Center Road, Herndon, VA, 20171",703-904-5019,ewatech.com,rgoetze@ewa.com,Automation Controls,
